"","(Intercept)","cont_area","elev_mean","prcp","slope_P","sweA1","tair","wetland","model.rmse","df","logLik","AICc","delta","weight"
"124",-0.330083205874073,0.00292142281806918,-0.00283158499931582,NA,-0.264464921324798,-0.00202912136046557,0.905588460011837,-0.00222661990428509,1.50475428421012,8,-12866.0797884647,25748.1800576575,0,0.515122391233805
"128",-0.273993346848491,0.0029220138618828,-0.00282374070010071,-0.0094360164849277,-0.265660688369848,-0.00205346201536067,0.902354555559146,-0.00230043613703067,1.50467019845344,9,-12865.6863818644,25749.3983682808,1.21831062326237,0.280128720521047
"60",-0.401149392337911,0.00286090794520136,-0.00278513043420574,NA,-0.242280952085557,-0.00225814633880853,0.906440909384988,NA,1.50524855422464,7,-12868.3918533498,25750.7996338897,2.61957623212948,0.139019805590795
"64",-0.358166434560868,0.00285977595306791,-0.00277762368272897,-0.00754808308881864,-0.24264918108831,-0.00228369044564183,0.903876641971257,NA,1.5051944204098,8,-12868.1386666529,25752.297814034,4.11775637647952,0.0657280869426953
"108",-0.473608753526704,0.003063603769004,-0.00261088633299518,NA,-0.332876732561575,NA,0.912991972050758,-0.00380624002533516,1.50785826932523,7,-12880.5868401048,25775.1896073997,27.0095497421244,7.0284769074391e-07
"112",-0.443501172823001,0.00306487556127737,-0.0026050763074652,-0.00522540305648525,-0.333993365375044,NA,0.91125030637768,-0.0038576105997536,1.50783240003375,8,-12880.466058611,25776.9525979501,28.772540292608,2.91093620968135e-07
"44",-0.635767459670862,0.00298097437167066,-0.00247827543499103,NA,-0.306002473837733,NA,0.916128783944867,NA,1.50942452100042,6,-12887.8956762663,25787.8032962267,39.6232385691765,1.28183904242549e-09
"48",-0.630729755915066,0.0029810026271219,-0.00247690412887147,-0.000942870925986577,-0.306138512275686,NA,0.915822157104856,NA,1.50942367033101,7,-12887.8917087183,25789.7993446265,41.6192869689839,4.72494864345359e-10
"52",-0.41594140391755,0.00277548241883088,-0.00453964039842087,NA,NA,-0.00301218202545958,0.906740364528933,NA,1.51054845941391,6,-12893.1358071202,25798.2835579344,50.1035002769022,6.79318717415686e-12
"56",-0.379393025737027,0.00277440892802448,-0.00453552265005878,-0.00642148829340382,NA,-0.00303488849388109,0.904559215963642,NA,1.51050940803089,7,-12892.9538034986,25799.9235341872,51.743476529653,2.99197019180283e-12
"116",-0.414898462817167,0.00277627074684861,-0.00454273881237819,NA,NA,-0.00300978855543919,0.906728021449955,-3.33119198281027e-05,1.51054833926275,7,-12893.1352471486,25800.2864214873,52.1063638297237,2.49549834664937e-12
"120",-0.376635754730147,0.00277622592540157,-0.00454266505069238,-0.0064812613292524,NA,-0.00302955286527374,0.904510307508825,-7.72020455757699e-05,1.51050876606116,8,-12892.9508114829,25801.922103694,53.7420460365174,1.10147186445556e-12
"122",-0.591826421892819,0.00322709962822917,NA,NA,-0.429665537176041,-0.0017236905249141,0.911193965595486,-0.00178320388726062,1.5107430690662,7,-12894.0427384382,25802.1014040665,53.9213464089371,1.00702169509343e-12
"126",-0.523816140655278,0.00322679346114818,NA,-0.0112953719712465,-0.430549095819636,-0.00175384033569234,0.907304235440222,-0.00187303595978893,1.51062299090467,8,-12893.4831569503,25802.9867946289,54.8067369713463,6.46812954151126e-13
"58",-0.645476571896821,0.00317444764746191,NA,NA,-0.409663475721892,-0.00191173409208944,0.911805002595079,NA,1.51105987701624,6,-12895.5188955645,25803.049734823,54.8696771654395,6.2677464522234e-13
"62",-0.589227072871371,0.00317189939703738,NA,-0.00972872085497067,-0.409556604712186,-0.00194586130413385,0.908481284815886,NA,1.51097022137698,7,-12895.1011792082,25804.2182856064,56.0382279488986,3.49432939172331e-13
"106",-0.697659688511892,0.0033288337720974,NA,NA,-0.477401920005175,NA,0.917182189356058,-0.00317069028266546,1.51300118221886,6,-12904.5575956674,25821.1271350289,72.9470773713838,7.44138614672174e-17
"110",-0.653533679846105,0.00332981642176037,NA,-0.00753365198701538,-0.478548128710965,NA,0.914657723658976,-0.00324679213025229,1.51294753967622,7,-12904.3079922968,25822.6319117836,74.4518541260732,3.50667664507109e-17
"42",-0.824336440994002,0.00324809470201899,NA,NA,-0.448656276661183,NA,0.91963877344474,NA,1.51409379368751,5,-12909.6396860112,25829.2879020196,81.1078443620499,1.25766740476829e-18
"46",-0.803587746205483,0.00324761230328775,NA,-0.00380458395517603,-0.448886696115538,NA,0.918393664776782,NA,1.51407996243417,6,-12909.5753752871,25831.1626942682,82.9826366106936,4.92560794624544e-19
"100",-0.695401171856947,0.00295364807291756,-0.00491898354132023,NA,NA,NA,0.919778424264503,-0.00174932012693477,1.51831154545817,6,-12929.2234739897,25870.4588916735,122.278834015939,1.44344085968398e-27
"36",-0.764723078796411,0.0029182057425739,-0.00476570861191873,NA,NA,NA,0.92102255237093,NA,1.5186552278815,5,-12930.8168561049,25871.642242207,123.462184549506,7.98799328892159e-28
"104",-0.705929761883934,0.0029533243128424,-0.00491829063536502,0.00187361784419184,NA,NA,0.920394752370438,-0.00173337475339722,1.51830822742727,7,-12929.208089161,25872.432105512,124.252047854476,5.3817194469815e-28
"40",-0.783800656910055,0.00291820439949186,-0.00476706612103218,0.00361171515492329,NA,NA,0.922188768348058,NA,1.5186427950395,6,-12930.7592211893,25873.5303860725,125.350328415017,3.10765257655633e-28
"114",-1.22599041361087,0.00333037467497435,NA,NA,NA,-0.00380136804392985,0.92300878923394,0.00464032442257753,1.53506444617759,6,-13006.4767208149,26024.9653853238,276.785327666279,4.06200252927362e-61
"118",-1.18732638776063,0.00333032031062785,NA,-0.00654698647345264,NA,-0.00382131979615216,0.920768318873739,0.00459591255939034,1.535024711195,7,-13006.2944887929,26026.6049047757,278.424847118196,1.78946440476973e-61
"50",-1.15055276154461,0.00351002482573781,NA,NA,NA,-0.00351584536827113,0.922817989331165,NA,1.53759933373598,5,-13018.0924482344,26046.1934264659,298.013368808402,9.97997893633622e-66
"54",-1.08978043612091,0.00350718375162564,NA,-0.0104864095083964,NA,-0.00355217939920586,0.919232318219083,NA,1.53749696469264,6,-13017.623729212,26047.259402118,299.07934446049,5.85674011065888e-66
"98",-1.67488910793628,0.00361864441902679,NA,NA,NA,NA,0.941599491279935,0.00292451870960822,1.54750329504361,5,-13063.2929718573,26136.5944737117,388.414416054198,2.33771539077718e-85
"102",-1.69827656145518,0.00361770484857379,NA,0.00421718511672395,NA,NA,0.942979819163028,0.00295892706412954,1.54748679931817,6,-13063.2179280584,26138.4477998109,390.267742153337,9.25437272773934e-86
"34",-1.6041302857025,0.00372106567129078,NA,NA,NA,NA,0.940570626774352,NA,1.548531103857,4,-13067.9671927346,26143.9400713256,395.760013668103,5.93902811365649e-87
"38",-1.61009365660778,0.00372113585822454,NA,0.00111499460715502,NA,NA,0.940932375429903,NA,1.5485299415734,5,-13067.961908708,26145.9323474131,397.752289755557,2.19330043876069e-87
"115",0.494702832772304,NA,-0.00809341414997472,NA,NA,-0.00540113195754535,0.903079424595973,0.00758646352838172,1.60442038601376,6,-13317.5757042517,26647.1633521975,898.983294539954,3.16350377588938e-196
"123",0.510517834305954,NA,-0.00791115513742278,NA,-0.0315966503440309,-0.00529890528807254,0.902920485932499,0.00737201718209282,1.60433911222135,7,-13317.2190757796,26648.4540787491,900.274021091569,1.65916908753885e-196
"119",0.534461129369091,NA,-0.00809327788839937,-0.00673718246642383,NA,-0.00542163655573304,0.900774202530536,0.00754071246841935,1.6043801277321,7,-13317.39905363,26648.81403445,900.633976792462,1.38588521091436e-196
"127",0.552849026945427,NA,-0.00790602615449118,-0.00709986438532353,-0.0324609230961762,-0.00531771747071456,0.900486819632421,0.0073179373950231,1.60429446131929,8,-13317.0231404424,26650.066761613,901.886703955486,7.40800067463062e-197
"59",0.832180684745621,NA,-0.00846256327325381,NA,-0.0947098231135741,-0.00471252226741694,0.899620500004313,NA,1.60991038937702,6,-13341.6240452352,26695.2600341644,947.079976506877,1.13790647612817e-206
"63",0.908291066106389,NA,-0.00844509489945049,-0.0135189560758558,-0.095473917512617,-0.00475653356044138,0.895032615251517,NA,1.60974796985613,7,-13340.9137627763,26695.8434527426,947.663395085099,8.49999821542005e-207
"51",0.811628668315728,NA,-0.0090936252226338,NA,NA,-0.00498356271234456,0.899820813307868,NA,1.61068281585797,5,-13345.0009899057,26700.0105098086,951.830452151058,1.05816621123811e-207
"55",0.884635936535296,NA,-0.00908172680334973,-0.0129960840295146,NA,-0.00502797389263781,0.895411927535095,NA,1.61053274326486,6,-13344.3450194891,26700.7019826721,952.521925014586,7.48863158418208e-208
"107",0.2197422425851,NA,-0.00798629202640909,NA,-0.193337678536172,NA,0.923531582785584,0.00421965570120982,1.62576173848113,6,-13410.6016091094,26833.2151619129,1085.03510425537,1.25756720542205e-236
"111",0.190403991038528,NA,-0.00798974610017576,0.00504366229978778,-0.192315794546049,NA,0.925208449784637,0.00426602368917447,1.62573936703103,7,-13410.5047338487,26835.0253948874,1086.84533722989,5.0867934980929e-237
"43",0.432336277393115,NA,-0.00831259284504476,NA,-0.220503541652488,NA,0.920178511914048,NA,1.62765464434155,5,-13418.7936492255,26847.5958284481,1099.41577079054,9.48001756987073e-240
"47",0.43047377900069,NA,-0.00831307841175254,0.000347891335799842,-0.220453646531058,NA,0.920291633937395,NA,1.62765453694305,6,-13418.793184701,26849.5983130959,1101.41825543839,3.48317364692209e-240
"99",0.0742813628336049,NA,-0.00923356572504135,NA,NA,NA,0.927310358733948,0.00526271953813509,1.62909035887718,5,-13425.00072468,26860.0099793571,1111.82992169961,1.91033935888291e-242
"103",0.0234327657720127,NA,-0.00922797996091099,0.00897684145328506,NA,NA,0.930259342382459,0.00533543412865401,1.62901934049807,6,-13424.6938170341,26861.3995777622,1113.21952010463,9.53593020856733e-243
"35",0.322559313099853,NA,-0.00988160958200315,NA,NA,NA,0.92366399105103,NA,1.63213339408666,4,-13438.1387217725,26884.2831294014,1136.10307174385,1.02391277664451e-247
"39",0.303398097482626,NA,-0.00988297064195792,0.00362745402967077,NA,NA,0.924835287859978,NA,1.63212172463146,5,-13438.0883868804,26886.1853037579,1138.00524610038,3.95558798389191e-248
"121",-0.0872268476909486,NA,NA,NA,-0.515997100624507,-0.00542512080393172,0.921240408683693,0.0123515354828479,1.65754184822277,6,-13546.890535273,27105.7930142401,1357.61295658252,8.12835431103583e-296
"125",-0.0109993426295068,NA,NA,-0.0126690335102648,-0.51697892460553,-0.00545854334168439,0.916876568588854,0.0122492745820649,1.65740416474646,7,-13546.3057343924,27106.6273959748,1358.4473383173,5.35573320332657e-296
"61",0.545165585185693,NA,NA,-0.0245974594179375,-0.685496463289224,-0.00449080197307698,0.909267938410447,NA,1.67286097514871,6,-13611.6559224615,27235.323788617,1487.14373095945,4.94065645841247e-324
"57",0.405080243156381,NA,NA,NA,-0.6863281850354,-0.00440958658753404,0.917683338959676,NA,1.67337920434738,5,-13613.8364793804,27237.6814887579,1489.50143110037,4.94065645841247e-324
"105",-0.390809507046514,NA,NA,NA,-0.686339420215411,NA,0.942525399396055,0.0091717879376896,1.67928387569146,5,-13638.6340377686,27287.2766055343,1539.0965478768,0
"109",-0.389277799051971,NA,NA,-0.000260973433017381,-0.686381262614122,NA,0.942438208469285,0.00916927790335064,1.6792838176789,6,-13638.6337945647,27289.2795328233,1541.0994751658,0
"41",0.0376028176909952,NA,NA,NA,-0.794348076288406,NA,0.936641889386511,NA,1.68835867178112,4,-13676.5755462316,27361.1567783196,1612.97672066207,0
"45",0.0990120806048826,NA,NA,-0.0113302120161806,-0.794881378719208,NA,0.932926382755114,NA,1.68824863164395,5,-13676.1166936045,27362.2419172062,1614.06185954862,0
"113",-0.834221966259511,NA,NA,NA,NA,-0.00807958481965314,0.935909589866797,0.020662401423222,1.68966683144464,5,-13682.0281068963,27374.0647437897,1625.88468613219,0
"117",-0.792985435853873,NA,NA,-0.00698374426645501,NA,-0.00810079308301606,0.933519430241098,0.020614747799362,1.68962575503648,6,-13681.8569598848,27375.7258634636,1627.5458058061,0
"53",-0.140789240067068,NA,NA,-0.0287952299520137,NA,-0.00787032613658275,0.928792178867208,NA,1.7442409932373,5,-13905.8165547178,27821.6416394328,2073.46158177529,0
"49",-0.305789843719794,NA,NA,NA,NA,-0.00778003213506851,0.938673518568328,NA,1.7449222459307,4,-13908.5656488093,27825.136983475,2076.9569258175,0
"101",-1.91216460728205,NA,NA,0.0181878278820628,NA,NA,0.988224743694881,0.0200171285672121,1.74526103443734,5,-13909.9323799536,27829.8732899043,2081.69323224682,0
"97",-1.81145238840306,NA,NA,NA,NA,NA,0.982317277238101,0.019887728060258,1.74553330242396,4,-13911.0305636016,27830.0668130597,2081.88675540212,0
"33",-1.26720299186217,NA,NA,NA,NA,NA,0.983322909576335,NA,1.7952568710362,3,-14108.7700057772,28223.5434225835,2475.36336492596,0
"37",-1.24740973505761,NA,NA,-0.00370477021804222,NA,NA,0.982118255178969,NA,1.79524580176442,4,-14108.7265981096,28225.4588820756,2477.27882441807,0
"96",11.8513573306835,0.00285271897997981,-0.00588595766898472,-0.483671787843776,-0.393596165704997,-0.00959459539454426,NA,-0.0110275700940338,2.41094775460507,8,-16184.6675765163,32385.3556337609,6637.17557610333,0
"32",11.5439358128488,0.00255188453864839,-0.00568838380059432,-0.478422689593932,-0.283616915247343,-0.0107667162799583,NA,NA,2.41850375034671,7,-16206.6966841162,32427.4092954223,6679.22923776479,0
"88",11.7420772023929,0.00263622891356961,-0.00844645721232787,-0.480969558294472,NA,-0.011069135435814,NA,-0.00776081414834961,2.41895766861977,7,-16208.0178666021,32430.0516603943,6681.87160273675,0
"24",11.5296291207415,0.00245182002920228,-0.00774590961702487,-0.477521393563977,NA,-0.0116523435861275,NA,NA,2.42302720462899,6,-16219.8516665833,32451.7152768605,6703.53521920302,0
"94",11.4669659854891,0.0034910227167806,NA,-0.493025507197004,-0.740826782825855,-0.00905305050568036,NA,-0.0102317246262818,2.42716399486327,7,-16231.8606819451,32477.7372910802,6729.55723342268,0
"30",11.1930387728959,0.00319129336598673,NA,-0.487851378395184,-0.627696210860301,-0.0101601289709313,NA,NA,2.43364246655736,6,-16250.6264847368,32513.2649131677,6765.08485551015,0
"80",11.6090995721763,0.00354198830460293,-0.00497224285899331,-0.485924037559445,-0.730981408597829,NA,NA,-0.0189937085720286,2.45529008037734,7,-16312.9714632481,32639.9588536862,6891.77879602865,0
"78",11.2931625525734,0.00405281504676736,NA,-0.493787227332264,-1.01067306797074,NA,NA,-0.0179322756622583,2.46676558998789,6,-16345.7982898615,32703.6085234169,6955.4284657594,0
"31",12.5712064768246,NA,-0.0107255714818953,-0.479640742875146,-0.151790384511906,-0.0129015087962291,NA,NA,2.47159064472344,6,-16359.5552545408,32731.1224527756,6982.94239511811,0
"95",12.6341273149002,NA,-0.0108417731529333,-0.480432560841343,-0.165656963199028,-0.012766356647645,NA,-0.00161919679050395,2.47141574754768,7,-16359.0570653741,32732.1300579381,6983.95000028062,0
"22",10.6360651907356,0.00370877163046363,NA,-0.497746799418192,NA,-0.0127875549731485,NA,NA,2.47260375718105,5,-16362.4403804973,32734.8892909917,6986.70923333422,0
"23",12.5414488678112,NA,-0.0117395185671137,-0.479123382115235,NA,-0.0133386587480347,NA,NA,2.47288289183072,5,-16363.2350881066,32736.4787062103,6988.29864855274,0
"86",10.6224335073778,0.00367790214281684,NA,-0.497200285406042,NA,-0.0128373185930318,NA,0.000803694567616758,2.47255671967186,6,-16362.3064539781,32736.6248516503,6988.44479399272,0
"87",12.5598679865232,NA,-0.0118034105772769,-0.479351181289411,NA,-0.0133095267936511,NA,-0.000495398675380679,2.47286551998964,6,-16363.1856323919,32738.3832084778,6990.20315082024,0
"16",10.972442286685,0.00313275327722013,-0.00438813890605642,-0.476527762054999,-0.601082084248088,NA,NA,NA,2.47935131670239,6,-16381.6258729829,32775.2636896599,7027.08363200235,0
"72",11.2957167936061,0.00330550407757466,-0.0101487014582431,-0.480884434216645,NA,NA,NA,-0.0146249049357658,2.48638941916501,6,-16401.581918677,32815.175781048,7066.99572339047,0
"14",10.723383348023,0.0036068670613186,NA,-0.483979570622663,-0.855997462888168,NA,NA,NA,2.48826561005919,5,-16406.8921902209,32823.792910439,7075.61285278148,0
"8",10.8293155441212,0.00301070712968974,-0.00894129808336515,-0.474060055375627,NA,NA,NA,NA,2.50110516444095,5,-16443.1254815374,32896.2594930719,7148.07943541434,0
"93",12.1592388445907,NA,NA,-0.500016267324195,-0.837959499792659,-0.0131479693827076,NA,0.00496472624845397,2.5369027457263,6,-16543.1726502317,33098.3572441575,7350.17718649997,0
"29",12.3446381929441,NA,NA,-0.503227647995233,-0.905514763433312,-0.0127278000050901,NA,NA,2.53857707169158,5,-16547.8174348224,33105.643399642,7357.46334198446,0
"79",12.557302560604,NA,-0.0112520284042587,-0.482557712468118,-0.573901681455264,NA,NA,-0.00985159966945641,2.55403288262088,6,-16590.5496463983,33193.1112364907,7444.93117883314,0
"15",12.1474687448684,NA,-0.0105327376826741,-0.477610705332958,-0.512526036357393,NA,NA,NA,2.56064587951568,5,-16608.7543181859,33227.517166369,7479.33710871149,0
"70",9.81715690283298,0.00473147140705551,NA,-0.501018018327276,NA,NA,NA,-0.00535332601194287,2.56383080594637,5,-16617.5052156279,33245.0189612529,7496.83890359537,0
"6",9.70214934501854,0.00454759640229471,NA,-0.497367924332266,NA,NA,NA,NA,2.56590422869597,4,-16623.1963076057,33254.3983010679,7506.21824341038,0
"71",12.2572537933916,NA,-0.0150413116015856,-0.478722497061286,NA,NA,NA,-0.00685786867155914,2.57277923278431,5,-16642.0338398347,33294.0762096665,7545.89615200895,0
"92",11.0614698627872,0.00280024158300411,-0.00706248759216644,NA,-0.34750324904936,-0.00976249859705239,NA,-0.00836805421389459,2.57363355361975,7,-16644.3711644864,33302.7582561627,7554.57819850518,0
"7",11.9854660882034,NA,-0.0142322095002124,-0.475458232123822,NA,NA,NA,NA,2.5760694136193,4,-16651.0311430462,33310.0679719489,7561.88791429132,0
"28",10.8340989489092,0.00257179354143117,-0.00690245464039322,NA,-0.264209243788472,-0.0106528871290522,NA,NA,2.57772329054416,6,-16655.5494830801,33323.1109098541,7574.93085219662,0
"84",10.9688228318003,0.00260923793138846,-0.00931880722236214,NA,NA,-0.0110643830620561,NA,-0.00549509743236729,2.57948948834,6,-16660.3714803495,33332.754904393,7584.57484673547,0
"20",10.8220154419847,0.00247852940096839,-0.00881730184492438,NA,NA,-0.0114782178530473,NA,NA,2.58140766797983,5,-16665.6046732914,33341.21787658,7593.03781892248,0
"85",11.2394377852325,NA,NA,-0.505198078328604,NA,-0.0177083637980253,NA,0.0184619229727363,2.59276773965512,5,-16696.5178243915,33403.0441787801,7654.86412112253,0
"90",10.5800534569135,0.00356788401725983,NA,NA,-0.764684054772556,-0.00911409524741293,NA,-0.00734747090974983,2.59556996755876,6,-16704.1224513349,33420.2568463637,7672.07678870621,0
"26",10.3894646527888,0.00335142672701058,NA,NA,-0.683022844001244,-0.00991099327742575,NA,NA,2.59870556776085,5,-16712.6220497693,33435.2526295358,7687.07257187827,0
"76",10.8112097257549,0.00350138145582124,-0.00613828213526023,NA,-0.690602223695444,NA,NA,-0.0164616568801685,2.61667851856732,6,-16761.1439121942,33534.2997680825,7786.11971042494,0
"21",11.7692365477335,NA,NA,-0.522481464096502,NA,-0.0174582615212249,NA,NA,2.62162936034895,4,-16774.4512386539,33556.9081631642,7808.72810550671,0
"77",12.0615000365576,NA,NA,-0.502971490480789,-1.28511382432338,NA,NA,-0.00326648622158647,2.62235677308298,5,-16776.4043276019,33562.817185201,7814.63712754346,0
"13",11.9305241139892,NA,NA,-0.500806000623731,-1.24810765467261,NA,NA,NA,2.62309731077804,4,-16778.392100376,33564.7898866085,7816.60982895099,0
"27",11.8675832564849,NA,-0.011982156889509,NA,-0.131301806894952,-0.0128040852886277,NA,NA,2.62837001957728,5,-16792.5290568056,33595.0666436084,7846.88658595083,0
"91",11.8351283483204,NA,-0.0119200019906348,NA,-0.124032600413692,-0.0128751931769579,NA,0.000850898885552509,2.62832448816019,6,-16792.407101392,33596.8261464781,7848.64608882054,0
"19",11.8424951735506,NA,-0.0128581970807048,NA,NA,-0.0131823749724501,NA,NA,2.6292794932095,4,-16794.9646297433,33597.9349453431,7849.75488768555,0
"83",11.7808438786806,NA,-0.0126385996003472,NA,NA,-0.0132819284364817,NA,0.00168863302141478,2.62908925465254,5,-16794.4552400425,33598.9190100822,7850.73895242469,0
"74",10.4036967178427,0.00413358995853527,NA,NA,-1.03638985249815,NA,NA,-0.0150955413038889,2.63313794183389,5,-16805.2882057495,33620.5849414961,7872.40488383855,0
"12",10.2714056558592,0.00314646719357524,-0.00561114444548313,NA,-0.578407283770574,NA,NA,NA,2.63370914754315,5,-16806.8152249094,33623.6389798159,7875.4589221584,0
"82",9.70033218614948,0.0037615062234153,NA,NA,NA,-0.0130218294519367,NA,0.00407165154185986,2.6408361035546,5,-16825.840107043,33661.6887440832,7913.50868642569,0
"18",9.76454472239695,0.00391906599662485,NA,NA,NA,-0.0127696188328001,NA,NA,2.64197128290828,4,-16828.8656433491,33665.7369725547,7917.55691489715,0
"68",10.5227908226845,0.0032782305775122,-0.0110201664375229,NA,NA,NA,NA,-0.012356642566922,2.64277471982854,5,-16831.0062177341,33672.0209654653,7923.84090780778,0
"10",9.93745878840079,0.00375564911207526,NA,NA,-0.905340874790328,NA,NA,NA,2.64747941741661,4,-16843.5277635397,33695.0612129359,7946.8811552784,0
"4",10.137145280101,0.0030289337306621,-0.00998730387504381,NA,NA,NA,NA,NA,2.6526906252311,4,-16857.371438192,33722.7485622403,7974.56850458282,0
"89",11.2749322241513,NA,NA,NA,-0.864332163499053,-0.0133013631377318,NA,0.00823021807920258,2.70299150269057,5,-16989.6155041209,33989.239538239,8241.05948058144,0
"25",11.57412463174,NA,NA,NA,-0.977078195419763,-0.0126035173820539,NA,NA,2.70732626131142,4,-17000.8964338377,34009.7985535318,8261.61849587426,0
"75",11.7540811532964,NA,-0.012338580672452,NA,-0.535587540278429,NA,NA,-0.00744098067160196,2.7074717100014,5,-17001.2746414026,34012.5578128024,8264.37775514488,0
"11",11.4499874958514,NA,-0.0117854947288375,NA,-0.489410932566924,NA,NA,NA,2.71104175889858,4,-17010.5514100283,34029.108505913,8280.92844825543,0
"67",11.4798759576652,NA,-0.0158687022596395,NA,NA,NA,NA,-0.00466351965176687,2.72289409257853,4,-17041.2623214967,34090.5303288497,8342.35027119222,0
"3",11.298261984607,NA,-0.015313444913491,NA,NA,NA,NA,NA,2.72433538499849,3,-17044.9877745605,34095.9789601499,8347.79890249239,0
"2",8.83260026889505,0.00475655525884527,NA,NA,NA,NA,NA,NA,2.72924717123123,3,-17057.6689741469,34121.3413593229,8373.16130166532,0
"66",8.87620829924815,0.00483098765328666,NA,NA,NA,NA,NA,-0.00214909693025699,2.72893174515573,4,-17056.8552963221,34121.7162785007,8373.53622084319,0
"81",10.316417371358,NA,NA,NA,NA,-0.0180084594278987,NA,0.0221916649898314,2.75883190422035,4,-17133.5711376965,34275.1479612495,8526.96790359198,0
"69",10.2666817691351,NA,NA,-0.514652436537063,NA,NA,NA,0.0167615664306862,2.7755811032707,4,-17176.1826020548,34360.3708899661,8612.19083230857,0
"9",11.1677068204347,NA,NA,NA,-1.31600069292903,NA,NA,NA,2.7852151015204,3,-17200.5760209242,34407.1554528775,8658.97539521993,0
"73",11.1707584884753,NA,NA,NA,-1.31689220811141,NA,NA,-7.80735221275801e-05,2.78521470146844,4,-17200.5750097399,34409.1557053362,8660.97564767862,0
"5",10.7608017028061,NA,NA,-0.530243060122645,NA,NA,NA,NA,2.79786758084448,3,-17232.4844170544,34470.9722451377,8722.79218748021,0
"17",10.9194588581071,NA,NA,NA,NA,-0.0177181649616342,NA,NA,2.79823380870869,3,-17233.4058600334,34472.8151310958,8724.63507343828,0
"65",9.30929081882384,NA,NA,NA,NA,NA,NA,0.0205329490736543,2.93707781615998,3,-17574.3299085209,35154.6632280708,9406.48317041323,0
"1",9.88297049359506,NA,NA,NA,NA,NA,NA,NA,2.96885538654663,2,-17650.0897408117,35304.1811868955,9556.00112923794,0
